epoch,train_loss,val_loss,val_psnr,val_ssim,seconds
0,0.1983382420939043,nan,nan,nan,53.9
1,0.14925253117850068,nan,nan,nan,52.3
2,0.14469924261537168,nan,nan,nan,52.3
3,0.1405343639604542,nan,nan,nan,52.4
4,0.1382352950376108,nan,nan,nan,52.9
5,0.13546847032571058,nan,nan,nan,52.7
6,0.1360598704820379,nan,nan,nan,52.9
7,0.13566491267549882,nan,nan,nan,52.8
8,0.1349806690571505,nan,nan,nan,52.8
9,0.13184570234029666,nan,nan,nan,52.8
10,0.13049426203200576,nan,nan,nan,53.2
11,0.13078966784641283,nan,nan,nan,52.9
12,0.13584573047423582,nan,nan,nan,52.9
13,0.1295853365178502,nan,nan,nan,53.3
14,0.1278690501637415,nan,nan,nan,52.7
15,0.13034906962869364,nan,nan,nan,52.8
16,0.12819567288554043,nan,nan,nan,52.6
17,0.12813988956836386,nan,nan,nan,52.6
18,0.12983412924436255,nan,nan,nan,52.6
19,0.1272126554144085,nan,nan,nan,52.6
20,0.1300596349419804,nan,nan,nan,52.7
21,0.126086753169331,nan,nan,nan,52.7
22,0.12740103271576242,nan,nan,nan,52.7
23,0.12707406948875943,nan,nan,nan,52.7
24,0.1251565373135269,nan,nan,nan,52.8
25,0.12800528426919508,nan,nan,nan,52.6
26,0.12669071572226123,nan,nan,nan,52.7
27,0.1257686721622397,nan,nan,nan,54.8
28,0.12657666076487356,nan,nan,nan,53.6
29,0.12794413205680497,nan,nan,nan,53.7
30,0.12369539629702174,nan,nan,nan,53.7
31,0.12381648532020936,nan,nan,nan,53.5
32,0.12711038734387914,nan,nan,nan,53.1
33,0.12628640986363823,nan,nan,nan,55.2
34,0.12446074522689941,nan,nan,nan,58.4
35,0.12383605847391513,nan,nan,nan,59.2
36,0.12300629390899194,nan,nan,nan,57.1
0,0.1983382420939043,0.14373642392456532,15.161193688710531,0.6790103614330292,49.6
1,0.14925253117850068,0.1348325995107492,15.793731689453125,0.697816401720047,48.7
2,0.14469924261537168,0.13828061210612455,15.855466604232788,0.7114898910125097,48.9
3,0.1405343639604542,0.13483694506188235,15.908324162165323,0.7151980102062225,48.9
4,0.1382352950376108,0.13842811807990074,15.745621999104818,0.7095535596211752,48.9
5,0.13546847032571058,0.14018059770266214,15.380515336990356,0.7112537523110708,48.9
6,0.1360598704820379,0.1375795571754376,15.583151578903198,0.7116605093081793,48.9
7,0.13566491267549882,0.13692738053699335,15.68981925646464,0.7169242103894552,48.9
8,0.1349806690571505,0.1376893501728773,15.550645669301352,0.7167768677075704,48.9
9,0.13184570234029666,0.1352388517310222,15.876614967981974,0.7157180060942968,48.9
10,0.13049426203200576,0.1338480201860269,15.982178211212158,0.7239259084065756,48.9
11,0.13078966784641283,0.1365896767626206,15.594809532165527,0.7239683121442795,49.1
12,0.13584573047423582,0.1339687785754601,15.911805629730225,0.7197403262058893,51.2
13,0.1295853365178502,0.13175456101695696,16.035752137502033,0.7256663540999094,50.8
14,0.1278690501637415,0.13262820554276308,15.935378551483154,0.7235559622446696,49.0
15,0.13034906962869364,0.13110487659772238,15.986787557601929,0.7269907295703888,49.3
16,0.12819567288554043,0.13087326288223267,16.035587628682453,0.7219718893369039,49.5
17,0.12813988956836386,0.13260363042354584,15.73438024520874,0.7308358997106552,49.0
18,0.12983412924436255,0.1305294738461574,15.884713490804037,0.7319572567939758,49.2
19,0.1272126554144085,0.12888771233459315,16.327208042144775,0.7341871509949366,49.1
20,0.1300596349419804,0.12888127068678537,16.14005168279012,0.7374897052844366,49.1
21,0.126086753169331,0.12915817213555178,16.228164672851562,0.7418321669101715,49.6
22,0.12740103271576242,0.1308168979982535,15.775344530741373,0.7339839935302734,49.3
23,0.12707406948875943,0.12622051810224852,16.440021912256878,0.741379072268804,49.2
24,0.1251565373135269,0.12668526793519655,16.14937464396159,0.7393271178007126,49.5
25,0.12800528426919508,0.12704631065328917,16.429277261098225,0.7388769288857778,49.6
26,0.12669071572226123,0.1257326304912567,16.561588287353516,0.7424290577570597,49.2
27,0.1257686721622397,0.12771920363108316,16.339895248413086,0.7443133393923441,49.9
28,0.12657666076487356,0.13228407936791578,16.27341111501058,0.7382119297981262,50.0
29,0.12794413205680497,0.1290681151052316,16.354830106099445,0.740361308058103,49.7
30,0.12369539629702174,0.13456778849164644,15.470486481984457,0.7398217916488647,49.6
31,0.12381648532020936,0.12930142941574255,16.216015736262005,0.7446619818607966,49.3
32,0.12711038734387914,0.12649546129008135,16.26711869239807,0.7414014687140783,49.2
33,0.12628640986363823,0.12485643289983273,16.593666791915894,0.7500443110863367,49.6
34,0.12446074522689941,0.12746835065384707,16.106149673461914,0.7404871781667074,49.4
35,0.12383605847391513,0.12566635571420193,16.099566141764324,0.7506130337715149,49.1
36,0.12300629390899194,0.12352726856867473,16.459278027216595,0.7489567349354426,49.0
37,0.12235839193293807,0.12435028764108817,16.316230138142902,0.7545506755510966,49.1
38,0.12003179844639716,0.12079943778614204,16.693469524383545,0.7574611554543177,48.9
39,0.12128352182447363,0.12218028617401917,16.345184326171875,0.7464969356854757,49.0
40,0.11740519755750621,0.12211683330436547,16.677927096684773,0.755277211467425,49.0
41,0.11820953188959611,0.11838405827681224,16.5594162940979,0.7608416477839152,49.0
42,0.11819899738381762,0.12569847765068212,16.706931988398235,0.7524950007597605,49.0
43,0.11612658838339902,0.11612470137576263,17.100413004557293,0.7657245099544525,49.1
44,0.11510778577366007,0.11618025104204814,16.932787974675495,0.7571732352177302,49.0
45,0.11236117896410304,0.11382744833827019,17.183045943578083,0.763761560122172,49.0
