epoch,train_loss,val_loss,val_psnr,val_ssim,seconds
0,0.38023080792995767,0.2707737224797408,17.338493188222248,0.6966836775342623,118.4
1,0.3194099272336435,0.24465662240982056,18.49114731947581,0.7433347851037979,120.5
2,0.3049924991546421,0.23677402858932814,18.810202876726787,0.7566201314330101,119.5
3,0.30190778441658805,0.22662813030183315,19.29362376530965,0.764991452296575,120.3
4,0.29535940180131054,0.2260143862416347,19.028408130009968,0.7667333508531252,121.4
5,0.29423351455992514,0.2167084657897552,19.558460752169292,0.7701625029246012,120.6
6,0.2821112589551768,0.212210596849521,19.421093583106995,0.7787190824747086,125.8
7,0.27654878261986127,0.22652251521746317,18.81830604871114,0.7709815576672554,126.5
8,0.2812406657212371,0.20820371558268866,19.701847394307453,0.7809273228049278,122.3
9,0.27342194011178583,0.21632694018383822,19.203919450441997,0.7731149246295294,121.9
10,0.2738516747678092,0.2092540798087915,19.511182069778442,0.7832935104767481,120.3
11,0.26272061740586516,0.21016068073610464,19.508782068888348,0.7815617024898529,121.0
12,0.2603170002955909,0.20908230046431223,19.434349576632183,0.787796159585317,123.0
13,0.2593471734622203,0.20395611909528574,19.466400305430096,0.7845896730820338,121.9
14,0.26191456178459555,0.20021688876052698,19.786178946495056,0.7915793980161349,121.4
15,0.2605536019583361,0.22197569720447063,18.784092863400776,0.76433793703715,121.0
16,0.255667811071654,0.1951635368168354,20.049928029378254,0.7924366965889931,121.1
17,0.25740655491111475,0.20261300603548685,19.909679412841797,0.7869714150826136,121.8
18,0.25930749078135973,0.19511913880705833,19.826837738355,0.7944683929284414,121.2
19,0.25980854519736873,0.2315504044915239,18.28174928824107,0.7559365530808767,120.5
20,0.25611177339739755,0.19390099557737508,19.881550033887226,0.7947601824998856,120.8
21,0.2480794883102452,0.19325742808481058,19.857240041097004,0.7960911616683006,122.8
22,0.25115882495947933,0.19673079438507557,19.80158456166585,0.7965131228168806,122.0
23,0.25016271876632623,0.20055053941905499,19.70238987604777,0.7930824235081673,121.9
24,0.2540408741306821,0.19254478998482227,20.387238303820293,0.7962808882196745,122.3
25,0.24922673253838076,0.196329092917343,19.45865265528361,0.7945328479011854,121.9
